250,54.9
298,50.1
300,49.9
400,38.4
500,30
600,24.1
700,19.9
800,16.8
900,14.4
1000,11.6
1100,11.1
1200,9.9
1300,8.91
1400,8.07
1500,7.36
1600,6.75
1700,6.22
1800,5.76
2000,4.99
2200,4.38
2400,3.89
2600,3.48
2800,3.13
3000,2.84
