15.382,6400
16,6660
17,7070
18,7480
19,7870
20,8220
22,8980
24,9760
26,10590
28,11490
30,12470
32,13510
34,14720
36,16070
38,17500
40,18950
42,20270
44,21200
46,21500
48,21340
50,20600
55,18170
60,16270
65,15000
70,14160
75,13600
80,13210
90,12770
100,12510
110,12640
120,12730
140,13010
160,13320
180,13600
200,13830
220,14030
240,14180
260,14290
280,14380
300,14430
350,14510
400,14530
450,14540
500,14550
550,14550
600,14570
650,14590
700,14620
750,14650
800,14700
850,14760
900,14830
950,14900
1000,14990
1100,15170
1200,15370
1300,15580
1400,15800
1500,16030
1600,16250
1700,16470
1800,16690
2000,17190
2200,17860
2400,18880
2600,20450
2800,22840
3000,26280
